source_file,original_split_dir,parser_method,raw_row_number,reason,raw_label,raw_text_excerpt
Combined_Corpus_Dataset/Data/Train/fulltrain_Guardian_Nyt_binary_shuffled_000.csv,Train,custom_recovery,2587,label_not_recoverable_after_join,,"""Sayed Abdellatifâ€™s horizons are low already, and narrowing still.





 Where once he could wave to his family through a wire fence, he has been told by guards â€“ without explanation â€“ that the behaviour was a security risk and prohibited.





 Now the only time he has with his wife and six children are the crowded hours spent in the overfull and noisy visitorsâ€™ area of Villawood detention centre in Sydney; a cavernous and impersonal room where guards wearing black vests and body camera"
Combined_Corpus_Dataset/Data/Train/fulltrain_Guardian_Nyt_binary_shuffled_001.csv,Train,custom_recovery,3223,label_not_recoverable_after_join,,"""Thailandâ€™s King Bhumibol Adulyadej has died, ending seven decades on the throne. As public mourning starts and the crown prince, Maha Vajiralongkorn, readies himself for the throne, Thailand will be thrust into uncertainly in the coming weeks. Here is what is expected to happen.





A country-wide shutdown





The south-east Asian nation will, in many ways, close down during an extended, year-long period of public mourning for the monarch.











 Related: Thai king Bhumibol Adulyadej d"
Combined_Corpus_Dataset/Data/Train/fulltrain_Guardian_Nyt_binary_shuffled_002.csv,Train,custom_recovery,3387,label_not_recoverable_after_join,,"""Donald Trump has issued a video outlining his policy plans for his first 100 days in office and vowing to issue a note of intent to withdraw from the Trans-Pacific Partnership â€œfrom day oneâ€.











What is the TPP?







"
Combined_Corpus_Dataset/Data/Train/fulltrain_Guardian_Nyt_binary_shuffled_005.csv,Train,custom_recovery,3849,label_not_recoverable_after_join,,"""There is something grand about vegetables roasted whole. All the food I make celebrates vegetables in some way, but cooking them whole takes it a step further. A complete vegetable, served up all golden and crackling, its colour intensified, makes a wonderful centrepiece that can be lacking in some meat-free cooking.





These recipes find their way into our kitchen on most weeknights with a simple salad, or at weekends as the focus of a lazy lunch or dinner with lemon and coriander-seed roast"
Combined_Corpus_Dataset/Data/Train/fulltrain_Guardian_Nyt_binary_shuffled_006.csv,Train,custom_recovery,2707,label_not_recoverable_after_join,,"""Barack Obama has told Donald Trump to â€œstop whiningâ€ as Republicans continue to disown Trumpâ€™s claims that the US election is â€œriggedâ€.





As the GOP nominee approaches the last presidential debate with Hillary Clinton, Obama warned his claims could divide America.





â€œOne way of weakening America and making it less great is if you start betraying those basic traditions that have held it together for well over two centuries,â€ said Obama, adding that there was no evidence at al"
Combined_Corpus_Dataset/Data/Train/fulltrain_Guardian_Nyt_binary_shuffled_010.csv,Train,custom_recovery,3468,label_not_recoverable_after_join,,"""Walking to Chickâ€™nâ€™Sours, I pass two of the new breed of fried chicken joints: it seems we canâ€™t get enough of poncified fast food. And when thereâ€™s a market for it, why not? If our new critical obergruppenfÃ¼hrers, the Instagram â€œinfluencersâ€, are to be believed, there are two massive current food trends: simplistically, fatty for boys, skinny for girls. (Donâ€™t get me started: the news about teenage girls and the epidemic of poor mental health and self-harming? Social media, Iâ€™"
Combined_Corpus_Dataset/Data/Train/fulltrain_Guardian_Nyt_binary_shuffled_012.csv,Train,custom_recovery,2590,label_not_recoverable_after_join,,"""









































San Francisco





Vancouver





Milan





























London





Moscow





Tokyo





























Athens





Nicosia





Naples





























Tehran





Kuwait City





Havana





























Istanbul





Cairo





Helsinki





























Toronto





Mexico City





New York





























Madrid





Rome





Helsinki





























Sydney





"
Combined_Corpus_Dataset/Data/Train/fulltrain_Guardian_Nyt_binary_shuffled_013.csv,Train,custom_recovery,3118,label_not_recoverable_after_join,,"""





























How did Donald Trump launch his presidential campaign?











During an episode of The Apprentice





He rode down an escalator into the lobby of a skyscraper bearing his name





Via a series of heated tweets





While travelling over Washington in a private jet


"
Combined_Corpus_Dataset/Data/Train/fulltrain_Guardian_Nyt_binary_shuffled_017.csv,Train,custom_recovery,2888,label_not_recoverable_after_join,,"""On a first viewing, I found Paul Schraderâ€™s latest trawl through Americaâ€™s scuzzy underbelly to be bracingly unwholesome. Shot, alternately, in brooding black and white and a luridly oversaturated palette reminiscent of a rack of cheap synthetic lingerie, it had a disreputable swagger. A second viewing emphasises the filmâ€™s more unlikable qualities â€“ the smirking nihilism; the grimly casual objectification of women and the flippant approach to violent death as a punchline.





The film"
Combined_Corpus_Dataset/Data/Train/fulltrain_Guardian_Nyt_binary_shuffled_020.csv,Train,custom_recovery,2150,label_not_recoverable_after_join,,"""The backdrop to this accomplished picture is Poland, 1990. Although communism has fallen and a new era of optimism is around the corner, the reality for four women is different. A grey-washed colour palette that takes its cues from cigarette ash and despair suggests that any hope of self-fulfilment is likely to be thwarted. The talented young writer-director Tomasz Wasilewski has an eye for eloquent framing and touches of absurdity, both of which evoke the work of Austrian film-maker Ulrich Sei"
Combined_Corpus_Dataset/Data/Train/fulltrain_Guardian_Nyt_binary_shuffled_022.csv,Train,custom_recovery,2218,label_not_recoverable_after_join,,"""Hurricane Matthew arrived thrashing at the door of Rosemikaâ€™s house in Croix-des-Bouquets at 6am on Tuesday.





 â€œIt happened so quickly and suddenly,â€ the 10-year-old told aid workers. â€œI heard my neighbour screaming: â€˜Water! Water everywhere!â€™ It had completely surrounded us.â€





 Rosemika and her brothers and sisters ran, terrified, to the sanctuary of the hills. Like some of her friends in Haitiâ€™s Ouest department, they lost their home to the fury of the wind and the rai"
Combined_Corpus_Dataset/Data/Train/fulltrain_Guardian_Nyt_binary_shuffled_025.csv,Train,custom_recovery,2718,label_not_recoverable_after_join,,"""Blending the febrile dream logic of Lucile HadÅ¾ihaliloviÄ‡ with the astute gender commentary of CÃ©line Sciamma, this Swedish magical realist teen movie brings an entirely fresh approach to transgender issues. Part fairytale, part coming of age, the film follows three bullied girls whose lives are turned upside down when the fruit of a mystery plant temporarily turns them into boys. The intriguing promise of the setup is not quite sustained in the third act, but this heady, sensual picture cap"
Combined_Corpus_Dataset/Data/Train/fulltrain_Guardian_Nyt_binary_shuffled_026.csv,Train,custom_recovery,2503,label_not_recoverable_after_join,,"""Please sit down, I have something shocking to tell you. In fact, best make sure you have a glass of water nearby. Okay, here goes. Bill and Hillary Clintonâ€™s marriage may be some sort of â€¦ arrangement.











 Related: Hillary's America review â€“ Dinesh D'Souza says: beware racist Democrat super-villains 











Wait, why havenâ€™t you passed out? Why are you giving me a look that says â€œyou donâ€™t have any firsthand proof of this?â€ and â€œwho gives a shit?â€ Clearly you need "
